feature_name,feature_block
fp_0000,morgan_fingerprint
fp_0001,morgan_fingerprint
fp_0002,morgan_fingerprint
fp_0003,morgan_fingerprint
fp_0004,morgan_fingerprint
fp_0005,morgan_fingerprint
fp_0006,morgan_fingerprint
fp_0007,morgan_fingerprint
fp_0008,morgan_fingerprint
fp_0009,morgan_fingerprint
fp_0010,morgan_fingerprint
fp_0011,morgan_fingerprint
fp_0012,morgan_fingerprint
fp_0013,morgan_fingerprint
fp_0014,morgan_fingerprint
fp_0015,morgan_fingerprint
fp_0016,morgan_fingerprint
fp_0017,morgan_fingerprint
fp_0018,morgan_fingerprint
fp_0019,morgan_fingerprint
fp_0020,morgan_fingerprint
fp_0021,morgan_fingerprint
fp_0022,morgan_fingerprint
fp_0023,morgan_fingerprint
fp_0024,morgan_fingerprint
fp_0025,morgan_fingerprint
fp_0026,morgan_fingerprint
fp_0027,morgan_fingerprint
fp_0028,morgan_fingerprint
fp_0029,morgan_fingerprint
fp_0030,morgan_fingerprint
fp_0031,morgan_fingerprint
fp_0032,morgan_fingerprint
fp_0033,morgan_fingerprint
fp_0034,morgan_fingerprint
fp_0035,morgan_fingerprint
fp_0036,morgan_fingerprint
fp_0037,morgan_fingerprint
fp_0038,morgan_fingerprint
fp_0039,morgan_fingerprint
fp_0040,morgan_fingerprint
fp_0041,morgan_fingerprint
fp_0042,morgan_fingerprint
fp_0043,morgan_fingerprint
fp_0044,morgan_fingerprint
fp_0045,morgan_fingerprint
fp_0046,morgan_fingerprint
fp_0047,morgan_fingerprint
fp_0048,morgan_fingerprint
fp_0049,morgan_fingerprint
fp_0050,morgan_fingerprint
fp_0051,morgan_fingerprint
fp_0052,morgan_fingerprint
fp_0053,morgan_fingerprint
fp_0054,morgan_fingerprint
fp_0055,morgan_fingerprint
fp_0056,morgan_fingerprint
fp_0057,morgan_fingerprint
fp_0058,morgan_fingerprint
fp_0059,morgan_fingerprint
fp_0060,morgan_fingerprint
fp_0061,morgan_fingerprint
fp_0062,morgan_fingerprint
fp_0063,morgan_fingerprint
fp_0064,morgan_fingerprint
fp_0065,morgan_fingerprint
fp_0066,morgan_fingerprint
fp_0067,morgan_fingerprint
fp_0068,morgan_fingerprint
fp_0069,morgan_fingerprint
fp_0070,morgan_fingerprint
fp_0071,morgan_fingerprint
fp_0072,morgan_fingerprint
fp_0073,morgan_fingerprint
fp_0074,morgan_fingerprint
fp_0075,morgan_fingerprint
fp_0076,morgan_fingerprint
fp_0077,morgan_fingerprint
fp_0078,morgan_fingerprint
fp_0079,morgan_fingerprint
fp_0080,morgan_fingerprint
fp_0081,morgan_fingerprint
fp_0082,morgan_fingerprint
fp_0083,morgan_fingerprint
fp_0084,morgan_fingerprint
fp_0085,morgan_fingerprint
fp_0086,morgan_fingerprint
fp_0087,morgan_fingerprint
fp_0088,morgan_fingerprint
fp_0089,morgan_fingerprint
fp_0090,morgan_fingerprint
fp_0091,morgan_fingerprint
fp_0092,morgan_fingerprint
fp_0093,morgan_fingerprint
fp_0094,morgan_fingerprint
fp_0095,morgan_fingerprint
fp_0096,morgan_fingerprint
fp_0097,morgan_fingerprint
fp_0098,morgan_fingerprint
fp_0099,morgan_fingerprint
fp_0100,morgan_fingerprint
fp_0101,morgan_fingerprint
fp_0102,morgan_fingerprint
fp_0103,morgan_fingerprint
fp_0104,morgan_fingerprint
fp_0105,morgan_fingerprint
fp_0106,morgan_fingerprint
fp_0107,morgan_fingerprint
fp_0108,morgan_fingerprint
fp_0109,morgan_fingerprint
fp_0110,morgan_fingerprint
fp_0111,morgan_fingerprint
fp_0112,morgan_fingerprint
fp_0113,morgan_fingerprint
fp_0114,morgan_fingerprint
fp_0115,morgan_fingerprint
fp_0116,morgan_fingerprint
fp_0117,morgan_fingerprint
fp_0118,morgan_fingerprint
fp_0119,morgan_fingerprint
fp_0120,morgan_fingerprint
fp_0121,morgan_fingerprint
fp_0122,morgan_fingerprint
fp_0123,morgan_fingerprint
fp_0124,morgan_fingerprint
fp_0125,morgan_fingerprint
fp_0126,morgan_fingerprint
fp_0127,morgan_fingerprint
fp_0128,morgan_fingerprint
fp_0129,morgan_fingerprint
fp_0130,morgan_fingerprint
fp_0131,morgan_fingerprint
fp_0132,morgan_fingerprint
fp_0133,morgan_fingerprint
fp_0134,morgan_fingerprint
fp_0135,morgan_fingerprint
fp_0136,morgan_fingerprint
fp_0137,morgan_fingerprint
fp_0138,morgan_fingerprint
fp_0139,morgan_fingerprint
fp_0140,morgan_fingerprint
fp_0141,morgan_fingerprint
fp_0142,morgan_fingerprint
fp_0143,morgan_fingerprint
fp_0144,morgan_fingerprint
fp_0145,morgan_fingerprint
fp_0146,morgan_fingerprint
fp_0147,morgan_fingerprint
fp_0148,morgan_fingerprint
fp_0149,morgan_fingerprint
fp_0150,morgan_fingerprint
fp_0151,morgan_fingerprint
fp_0152,morgan_fingerprint
fp_0153,morgan_fingerprint
fp_0154,morgan_fingerprint
fp_0155,morgan_fingerprint
fp_0156,morgan_fingerprint
fp_0157,morgan_fingerprint
fp_0158,morgan_fingerprint
fp_0159,morgan_fingerprint
fp_0160,morgan_fingerprint
fp_0161,morgan_fingerprint
fp_0162,morgan_fingerprint
fp_0163,morgan_fingerprint
fp_0164,morgan_fingerprint
fp_0165,morgan_fingerprint
fp_0166,morgan_fingerprint
fp_0167,morgan_fingerprint
fp_0168,morgan_fingerprint
fp_0169,morgan_fingerprint
fp_0170,morgan_fingerprint
fp_0171,morgan_fingerprint
fp_0172,morgan_fingerprint
fp_0173,morgan_fingerprint
fp_0174,morgan_fingerprint
fp_0175,morgan_fingerprint
fp_0176,morgan_fingerprint
fp_0177,morgan_fingerprint
fp_0178,morgan_fingerprint
fp_0179,morgan_fingerprint
fp_0180,morgan_fingerprint
fp_0181,morgan_fingerprint
fp_0182,morgan_fingerprint
fp_0183,morgan_fingerprint
fp_0184,morgan_fingerprint
fp_0185,morgan_fingerprint
fp_0186,morgan_fingerprint
fp_0187,morgan_fingerprint
fp_0188,morgan_fingerprint
fp_0189,morgan_fingerprint
fp_0190,morgan_fingerprint
fp_0191,morgan_fingerprint
fp_0192,morgan_fingerprint
fp_0193,morgan_fingerprint
fp_0194,morgan_fingerprint
fp_0195,morgan_fingerprint
fp_0196,morgan_fingerprint
fp_0197,morgan_fingerprint
fp_0198,morgan_fingerprint
fp_0199,morgan_fingerprint
fp_0200,morgan_fingerprint
fp_0201,morgan_fingerprint
fp_0202,morgan_fingerprint
fp_0203,morgan_fingerprint
fp_0204,morgan_fingerprint
fp_0205,morgan_fingerprint
fp_0206,morgan_fingerprint
fp_0207,morgan_fingerprint
fp_0208,morgan_fingerprint
fp_0209,morgan_fingerprint
fp_0210,morgan_fingerprint
fp_0211,morgan_fingerprint
fp_0212,morgan_fingerprint
fp_0213,morgan_fingerprint
fp_0214,morgan_fingerprint
fp_0215,morgan_fingerprint
fp_0216,morgan_fingerprint
fp_0217,morgan_fingerprint
fp_0218,morgan_fingerprint
fp_0219,morgan_fingerprint
fp_0220,morgan_fingerprint
fp_0221,morgan_fingerprint
fp_0222,morgan_fingerprint
fp_0223,morgan_fingerprint
fp_0224,morgan_fingerprint
fp_0225,morgan_fingerprint
fp_0226,morgan_fingerprint
fp_0227,morgan_fingerprint
fp_0228,morgan_fingerprint
fp_0229,morgan_fingerprint
fp_0230,morgan_fingerprint
fp_0231,morgan_fingerprint
fp_0232,morgan_fingerprint
fp_0233,morgan_fingerprint
fp_0234,morgan_fingerprint
fp_0235,morgan_fingerprint
fp_0236,morgan_fingerprint
fp_0237,morgan_fingerprint
fp_0238,morgan_fingerprint
fp_0239,morgan_fingerprint
fp_0240,morgan_fingerprint
fp_0241,morgan_fingerprint
fp_0242,morgan_fingerprint
fp_0243,morgan_fingerprint
fp_0244,morgan_fingerprint
fp_0245,morgan_fingerprint
fp_0246,morgan_fingerprint
fp_0247,morgan_fingerprint
fp_0248,morgan_fingerprint
fp_0249,morgan_fingerprint
fp_0250,morgan_fingerprint
fp_0251,morgan_fingerprint
fp_0252,morgan_fingerprint
fp_0253,morgan_fingerprint
fp_0254,morgan_fingerprint
fp_0255,morgan_fingerprint
fp_0256,morgan_fingerprint
fp_0257,morgan_fingerprint
fp_0258,morgan_fingerprint
fp_0259,morgan_fingerprint
fp_0260,morgan_fingerprint
fp_0261,morgan_fingerprint
fp_0262,morgan_fingerprint
fp_0263,morgan_fingerprint
fp_0264,morgan_fingerprint
fp_0265,morgan_fingerprint
fp_0266,morgan_fingerprint
fp_0267,morgan_fingerprint
fp_0268,morgan_fingerprint
fp_0269,morgan_fingerprint
fp_0270,morgan_fingerprint
fp_0271,morgan_fingerprint
fp_0272,morgan_fingerprint
fp_0273,morgan_fingerprint
fp_0274,morgan_fingerprint
fp_0275,morgan_fingerprint
fp_0276,morgan_fingerprint
fp_0277,morgan_fingerprint
fp_0278,morgan_fingerprint
fp_0279,morgan_fingerprint
fp_0280,morgan_fingerprint
fp_0281,morgan_fingerprint
fp_0282,morgan_fingerprint
fp_0283,morgan_fingerprint
fp_0284,morgan_fingerprint
fp_0285,morgan_fingerprint
fp_0286,morgan_fingerprint
fp_0287,morgan_fingerprint
fp_0288,morgan_fingerprint
fp_0289,morgan_fingerprint
fp_0290,morgan_fingerprint
fp_0291,morgan_fingerprint
fp_0292,morgan_fingerprint
fp_0293,morgan_fingerprint
fp_0294,morgan_fingerprint
fp_0295,morgan_fingerprint
fp_0296,morgan_fingerprint
fp_0297,morgan_fingerprint
fp_0298,morgan_fingerprint
fp_0299,morgan_fingerprint
fp_0300,morgan_fingerprint
fp_0301,morgan_fingerprint
fp_0302,morgan_fingerprint
fp_0303,morgan_fingerprint
fp_0304,morgan_fingerprint
fp_0305,morgan_fingerprint
fp_0306,morgan_fingerprint
fp_0307,morgan_fingerprint
fp_0308,morgan_fingerprint
fp_0309,morgan_fingerprint
fp_0310,morgan_fingerprint
fp_0311,morgan_fingerprint
fp_0312,morgan_fingerprint
fp_0313,morgan_fingerprint
fp_0314,morgan_fingerprint
fp_0315,morgan_fingerprint
fp_0316,morgan_fingerprint
fp_0317,morgan_fingerprint
fp_0318,morgan_fingerprint
fp_0319,morgan_fingerprint
fp_0320,morgan_fingerprint
fp_0321,morgan_fingerprint
fp_0322,morgan_fingerprint
fp_0323,morgan_fingerprint
fp_0324,morgan_fingerprint
fp_0325,morgan_fingerprint
fp_0326,morgan_fingerprint
fp_0327,morgan_fingerprint
fp_0328,morgan_fingerprint
fp_0329,morgan_fingerprint
fp_0330,morgan_fingerprint
fp_0331,morgan_fingerprint
fp_0332,morgan_fingerprint
fp_0333,morgan_fingerprint
fp_0334,morgan_fingerprint
fp_0335,morgan_fingerprint
fp_0336,morgan_fingerprint
fp_0337,morgan_fingerprint
fp_0338,morgan_fingerprint
fp_0339,morgan_fingerprint
fp_0340,morgan_fingerprint
fp_0341,morgan_fingerprint
fp_0342,morgan_fingerprint
fp_0343,morgan_fingerprint
fp_0344,morgan_fingerprint
fp_0345,morgan_fingerprint
fp_0346,morgan_fingerprint
fp_0347,morgan_fingerprint
fp_0348,morgan_fingerprint
fp_0349,morgan_fingerprint
fp_0350,morgan_fingerprint
fp_0351,morgan_fingerprint
fp_0352,morgan_fingerprint
fp_0353,morgan_fingerprint
fp_0354,morgan_fingerprint
fp_0355,morgan_fingerprint
fp_0356,morgan_fingerprint
fp_0357,morgan_fingerprint
fp_0358,morgan_fingerprint
fp_0359,morgan_fingerprint
fp_0360,morgan_fingerprint
fp_0361,morgan_fingerprint
fp_0362,morgan_fingerprint
fp_0363,morgan_fingerprint
fp_0364,morgan_fingerprint
fp_0365,morgan_fingerprint
fp_0366,morgan_fingerprint
fp_0367,morgan_fingerprint
fp_0368,morgan_fingerprint
fp_0369,morgan_fingerprint
fp_0370,morgan_fingerprint
fp_0371,morgan_fingerprint
fp_0372,morgan_fingerprint
fp_0373,morgan_fingerprint
fp_0374,morgan_fingerprint
fp_0375,morgan_fingerprint
fp_0376,morgan_fingerprint
fp_0377,morgan_fingerprint
fp_0378,morgan_fingerprint
fp_0379,morgan_fingerprint
fp_0380,morgan_fingerprint
fp_0381,morgan_fingerprint
fp_0382,morgan_fingerprint
fp_0383,morgan_fingerprint
fp_0384,morgan_fingerprint
fp_0385,morgan_fingerprint
fp_0386,morgan_fingerprint
fp_0387,morgan_fingerprint
fp_0388,morgan_fingerprint
fp_0389,morgan_fingerprint
fp_0390,morgan_fingerprint
fp_0391,morgan_fingerprint
fp_0392,morgan_fingerprint
fp_0393,morgan_fingerprint
fp_0394,morgan_fingerprint
fp_0395,morgan_fingerprint
fp_0396,morgan_fingerprint
fp_0397,morgan_fingerprint
fp_0398,morgan_fingerprint
fp_0399,morgan_fingerprint
fp_0400,morgan_fingerprint
fp_0401,morgan_fingerprint
fp_0402,morgan_fingerprint
fp_0403,morgan_fingerprint
fp_0404,morgan_fingerprint
fp_0405,morgan_fingerprint
fp_0406,morgan_fingerprint
fp_0407,morgan_fingerprint
fp_0408,morgan_fingerprint
fp_0409,morgan_fingerprint
fp_0410,morgan_fingerprint
fp_0411,morgan_fingerprint
fp_0412,morgan_fingerprint
fp_0413,morgan_fingerprint
fp_0414,morgan_fingerprint
fp_0415,morgan_fingerprint
fp_0416,morgan_fingerprint
fp_0417,morgan_fingerprint
fp_0418,morgan_fingerprint
fp_0419,morgan_fingerprint
fp_0420,morgan_fingerprint
fp_0421,morgan_fingerprint
fp_0422,morgan_fingerprint
fp_0423,morgan_fingerprint
fp_0424,morgan_fingerprint
fp_0425,morgan_fingerprint
fp_0426,morgan_fingerprint
fp_0427,morgan_fingerprint
fp_0428,morgan_fingerprint
fp_0429,morgan_fingerprint
fp_0430,morgan_fingerprint
fp_0431,morgan_fingerprint
fp_0432,morgan_fingerprint
fp_0433,morgan_fingerprint
fp_0434,morgan_fingerprint
fp_0435,morgan_fingerprint
fp_0436,morgan_fingerprint
fp_0437,morgan_fingerprint
fp_0438,morgan_fingerprint
fp_0439,morgan_fingerprint
fp_0440,morgan_fingerprint
fp_0441,morgan_fingerprint
fp_0442,morgan_fingerprint
fp_0443,morgan_fingerprint
fp_0444,morgan_fingerprint
fp_0445,morgan_fingerprint
fp_0446,morgan_fingerprint
fp_0447,morgan_fingerprint
fp_0448,morgan_fingerprint
fp_0449,morgan_fingerprint
fp_0450,morgan_fingerprint
fp_0451,morgan_fingerprint
fp_0452,morgan_fingerprint
fp_0453,morgan_fingerprint
fp_0454,morgan_fingerprint
fp_0455,morgan_fingerprint
fp_0456,morgan_fingerprint
fp_0457,morgan_fingerprint
fp_0458,morgan_fingerprint
fp_0459,morgan_fingerprint
fp_0460,morgan_fingerprint
fp_0461,morgan_fingerprint
fp_0462,morgan_fingerprint
fp_0463,morgan_fingerprint
fp_0464,morgan_fingerprint
fp_0465,morgan_fingerprint
fp_0466,morgan_fingerprint
fp_0467,morgan_fingerprint
fp_0468,morgan_fingerprint
fp_0469,morgan_fingerprint
fp_0470,morgan_fingerprint
fp_0471,morgan_fingerprint
fp_0472,morgan_fingerprint
fp_0473,morgan_fingerprint
fp_0474,morgan_fingerprint
fp_0475,morgan_fingerprint
fp_0476,morgan_fingerprint
fp_0477,morgan_fingerprint
fp_0478,morgan_fingerprint
fp_0479,morgan_fingerprint
fp_0480,morgan_fingerprint
fp_0481,morgan_fingerprint
fp_0482,morgan_fingerprint
fp_0483,morgan_fingerprint
fp_0484,morgan_fingerprint
fp_0485,morgan_fingerprint
fp_0486,morgan_fingerprint
fp_0487,morgan_fingerprint
fp_0488,morgan_fingerprint
fp_0489,morgan_fingerprint
fp_0490,morgan_fingerprint
fp_0491,morgan_fingerprint
fp_0492,morgan_fingerprint
fp_0493,morgan_fingerprint
fp_0494,morgan_fingerprint
fp_0495,morgan_fingerprint
fp_0496,morgan_fingerprint
fp_0497,morgan_fingerprint
fp_0498,morgan_fingerprint
fp_0499,morgan_fingerprint
fp_0500,morgan_fingerprint
fp_0501,morgan_fingerprint
fp_0502,morgan_fingerprint
fp_0503,morgan_fingerprint
fp_0504,morgan_fingerprint
fp_0505,morgan_fingerprint
fp_0506,morgan_fingerprint
fp_0507,morgan_fingerprint
fp_0508,morgan_fingerprint
fp_0509,morgan_fingerprint
fp_0510,morgan_fingerprint
fp_0511,morgan_fingerprint
mol_wt,rdkit_descriptor
mol_logp,rdkit_descriptor
tpsa,rdkit_descriptor
fraction_csp3,rdkit_descriptor
ring_count,rdkit_descriptor
aromatic_ring_count,rdkit_descriptor
h_donors,rdkit_descriptor
h_acceptors,rdkit_descriptor
heavy_atom_count,rdkit_descriptor
aging_days_log1p,experimental_numeric
aging_missing,experimental_numeric
thickness_missing,experimental_numeric
